discouraged_ability,alpha,test_ability,score,baseline,delta_pct
CEe,-2.0,VO,57.0,84.0,-32.142857142857146
CEe,-1.5,AS,171.0,229.0,-25.327510917030565
CEe,-1.5,CEc,262.0,316.0,-17.088607594936708
CEe,-1.5,CEe,24.0,30.0,-20.0
CEe,-1.5,CL,206.0,252.0,-18.253968253968253
CEe,-1.5,MCr,171.0,193.0,-11.398963730569948
CEe,-1.5,MCt,309.0,376.0,-17.819148936170212
CEe,-1.5,MCu,342.0,426.0,-19.718309859154928
CEe,-1.5,MS,80.0,86.0,-6.976744186046512
CEe,-1.5,QLl,203.0,236.0,-13.983050847457626
CEe,-1.5,QLq,80.0,117.0,-31.62393162393162
CEe,-1.5,SNs,0.0,0.0,0.0
CEe,-1.5,KNa,408.0,517.0,-21.08317214700193
CEe,-1.5,KNc,295.0,317.0,-6.940063091482649
CEe,-1.5,KNf,197.0,266.0,-25.93984962406015
CEe,-1.5,KNn,203.0,274.0,-25.91240875912409
CEe,-1.5,KNs,303.0,346.0,-12.427745664739884
CEe,-1.5,AT,292.0,350.0,-16.57142857142857
CEe,-1.5,VO,63.0,84.0,-25.0
CEe,-1.0,AS,199.0,229.0,-13.100436681222707
CEe,-1.0,CEc,294.0,316.0,-6.962025316455696
CEe,-1.0,CEe,27.0,30.0,-10.0
CEe,-1.0,CL,222.0,252.0,-11.904761904761903
CEe,-1.0,MCr,184.0,193.0,-4.66321243523316
CEe,-1.0,MCt,340.0,376.0,-9.574468085106384
CEe,-1.0,MCu,380.0,426.0,-10.7981220657277
CEe,-1.0,MS,83.0,86.0,-3.488372093023256
CEe,-1.0,QLl,222.0,236.0,-5.932203389830509
CEe,-1.0,QLq,94.0,117.0,-19.65811965811966
CEe,-1.0,SNs,0.0,0.0,0.0
CEe,-1.0,KNa,469.0,517.0,-9.284332688588009
CEe,-1.0,KNc,296.0,317.0,-6.624605678233439
CEe,-1.0,KNf,229.0,266.0,-13.909774436090224
CEe,-1.0,KNn,237.0,274.0,-13.503649635036496
CEe,-1.0,KNs,330.0,346.0,-4.624277456647398
CEe,-1.0,AT,310.0,350.0,-11.428571428571429
CEe,-1.0,VO,66.0,84.0,-21.428571428571427
CEe,0.0,AS,229.0,229.0,0.0
CEe,0.0,CEc,316.0,316.0,0.0
CEe,0.0,CEe,30.0,30.0,0.0
CEe,0.0,CL,252.0,252.0,0.0
CEe,0.0,MCr,193.0,193.0,0.0
CEe,0.0,MCt,376.0,376.0,0.0
CEe,0.0,MCu,426.0,426.0,0.0
CEe,0.0,MS,86.0,86.0,0.0
CEe,0.0,QLl,236.0,236.0,0.0
CEe,0.0,QLq,117.0,117.0,0.0
CEe,0.0,SNs,0.0,0.0,0.0
CEe,0.0,KNa,517.0,517.0,0.0
CEe,0.0,KNc,317.0,317.0,0.0
CEe,0.0,KNf,266.0,266.0,0.0
CEe,0.0,KNn,274.0,274.0,0.0
CEe,0.0,KNs,346.0,346.0,0.0
CEe,0.0,AT,350.0,350.0,0.0
CEe,0.0,VO,84.0,84.0,0.0
CEe,0.5,AS,228.0,229.0,-0.43668122270742354
CEe,0.5,CEc,326.0,316.0,3.1645569620253164
CEe,0.5,CEe,30.0,30.0,0.0
CEe,0.5,CL,262.0,252.0,3.968253968253968
CEe,0.5,MCr,205.0,193.0,6.217616580310881
CEe,0.5,MCt,382.0,376.0,1.5957446808510638
CEe,0.5,MCu,436.0,426.0,2.3474178403755865
CEe,0.5,MS,86.0,86.0,0.0
CEe,0.5,QLl,246.0,236.0,4.23728813559322
CEe,0.5,QLq,115.0,117.0,-1.7094017094017095
CEe,0.5,SNs,0.0,0.0,0.0
CEe,0.5,KNa,522.0,517.0,0.9671179883945842
CEe,0.5,KNc,317.0,317.0,0.0
CEe,0.5,KNf,269.0,266.0,1.1278195488721803
CEe,0.5,KNn,274.0,274.0,0.0
CEe,0.5,KNs,351.0,346.0,1.4450867052023122
CEe,0.5,AT,357.0,350.0,2.0
CEe,0.5,VO,81.0,84.0,-3.571428571428571
CL,-3.0,AS,141.0,229.0,-38.427947598253276
CL,-3.0,CEc,249.0,316.0,-21.202531645569618
CL,-3.0,CEe,27.0,30.0,-10.0
CL,-3.0,CL,201.0,252.0,-20.238095238095237
CL,-3.0,MCr,148.0,193.0,-23.316062176165804
CL,-3.0,MCt,281.0,376.0,-25.265957446808514
CL,-3.0,MCu,303.0,426.0,-28.87323943661972
CL,-3.0,MS,75.0,86.0,-12.790697674418606
CL,-3.0,QLl,184.0,236.0,-22.033898305084744
CL,-3.0,QLq,83.0,117.0,-29.059829059829063
CL,-3.0,SNs,0.0,0.0,0.0
CL,-3.0,KNa,368.0,517.0,-28.820116054158607
CL,-3.0,KNc,256.0,317.0,-19.242902208201894
CL,-3.0,KNf,184.0,266.0,-30.82706766917293
CL,-3.0,KNn,174.0,274.0,-36.496350364963504
CL,-3.0,KNs,247.0,346.0,-28.61271676300578
CL,-3.0,AT,261.0,350.0,-25.428571428571427
CL,-3.0,VO,54.0,84.0,-35.714285714285715
CL,-2.0,AS,165.0,229.0,-27.947598253275107
CL,-2.0,CEc,283.0,316.0,-10.443037974683545
CL,-2.0,CEe,30.0,30.0,0.0
CL,-2.0,CL,227.0,252.0,-9.920634920634921
CL,-2.0,MCr,173.0,193.0,-10.362694300518134
CL,-2.0,MCt,334.0,376.0,-11.170212765957446
CL,-2.0,MCu,363.0,426.0,-14.788732394366196
CL,-2.0,MS,86.0,86.0,0.0
CL,-2.0,QLl,220.0,236.0,-6.779661016949152
CL,-2.0,QLq,102.0,117.0,-12.82051282051282
CL,-2.0,SNs,0.0,0.0,0.0
CL,-2.0,KNa,421.0,517.0,-18.568665377176018
CL,-2.0,KNc,306.0,317.0,-3.4700315457413247
CL,-2.0,KNf,218.0,266.0,-18.045112781954884
CL,-2.0,KNn,194.0,274.0,-29.1970802919708
CL,-2.0,KNs,307.0,346.0,-11.271676300578035
CL,-2.0,AT,309.0,350.0,-11.714285714285715
CL,-2.0,VO,63.0,84.0,-25.0
CL,-1.5,AS,183.0,229.0,-20.087336244541483
CL,-1.5,CEc,286.0,316.0,-9.49367088607595
CL,-1.5,CEe,30.0,30.0,0.0
CL,-1.5,CL,227.0,252.0,-9.920634920634921
CL,-1.5,MCr,185.0,193.0,-4.145077720207254
CL,-1.5,MCt,341.0,376.0,-9.308510638297872
CL,-1.5,MCu,382.0,426.0,-10.328638497652582
CL,-1.5,MS,89.0,86.0,3.488372093023256
CL,-1.5,QLl,221.0,236.0,-6.3559322033898304
CL,-1.5,QLq,103.0,117.0,-11.965811965811966
CL,-1.5,SNs,0.0,0.0,0.0
CL,-1.5,KNa,454.0,517.0,-12.18568665377176
CL,-1.5,KNc,314.0,317.0,-0.9463722397476341
CL,-1.5,KNf,224.0,266.0,-15.789473684210526
CL,-1.5,KNn,226.0,274.0,-17.51824817518248
CL,-1.5,KNs,320.0,346.0,-7.514450867052023
CL,-1.5,AT,314.0,350.0,-10.285714285714285
CL,-1.5,VO,57.0,84.0,-32.142857142857146
CL,-1.0,AS,205.0,229.0,-10.480349344978166
CL,-1.0,CEc,309.0,316.0,-2.2151898734177213
CL,-1.0,CEe,30.0,30.0,0.0
CL,-1.0,CL,246.0,252.0,-2.380952380952381
CL,-1.0,MCr,196.0,193.0,1.5544041450777202
CL,-1.0,MCt,372.0,376.0,-1.0638297872340425
CL,-1.0,MCu,406.0,426.0,-4.694835680751173
CL,-1.0,MS,89.0,86.0,3.488372093023256
CL,-1.0,QLl,244.0,236.0,3.389830508474576
CL,-1.0,QLq,116.0,117.0,-0.8547008547008548
CL,-1.0,SNs,0.0,0.0,0.0
CL,-1.0,KNa,494.0,517.0,-4.448742746615087
CL,-1.0,KNc,314.0,317.0,-0.9463722397476341
CL,-1.0,KNf,260.0,266.0,-2.2556390977443606
CL,-1.0,KNn,244.0,274.0,-10.948905109489052
